epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,3.3781867027282715,0.055927835404872894,3.3445205688476562,0.08294752985239029,64,1e-05
2,3.3019754886627197,0.08865979313850403,3.240966796875,0.11496913433074951,64,1e-05
3,3.1895620822906494,0.11546391993761063,3.1114182472229004,0.14853395521640778,64,1e-05
4,3.082120418548584,0.13930411636829376,3.0123705863952637,0.16782407462596893,64,1e-05
5,2.9920296669006348,0.16623711585998535,2.9380195140838623,0.1940586417913437,64,1e-05
6,2.914594888687134,0.1918814480304718,2.87630558013916,0.2114197462797165,64,1e-05
7,2.861778974533081,0.20837628841400146,2.8228559494018555,0.23109567165374756,64,1e-05
8,2.796200752258301,0.2234536111354828,2.7706031799316406,0.24459876120090485,64,1e-05
9,2.7331268787384033,0.24600514769554138,2.7281785011291504,0.264660507440567,64,1e-05
10,2.676445245742798,0.26726803183555603,2.6792702674865723,0.27662035822868347,64,1e-05
11,2.617025852203369,0.28479382395744324,2.6366732120513916,0.28703704476356506,64,1e-05
12,2.5833261013031006,0.2944587767124176,2.596609354019165,0.30015432834625244,64,1e-05
13,2.52365779876709,0.31172680854797363,2.5532572269439697,0.3190586566925049,64,1e-05
14,2.455075740814209,0.33182990550994873,2.516361951828003,0.33873456716537476,64,1e-05
15,2.412963390350342,0.34458762407302856,2.4745657444000244,0.3476080298423767,64,1e-05
16,2.350717067718506,0.3666236996650696,2.441120147705078,0.3499228358268738,64,1e-05
17,2.3188536167144775,0.37164947390556335,2.391559362411499,0.37268519401550293,64,1e-05
18,2.2515454292297363,0.39162370562553406,2.3624489307403564,0.3827160596847534,64,1e-05
19,2.1967222690582275,0.4057989716529846,2.3182332515716553,0.39776235818862915,64,1e-05
20,2.1544060707092285,0.4173969030380249,2.284013271331787,0.40856480598449707,64,1e-05
21,2.087280511856079,0.4373711347579956,2.2549335956573486,0.42476850748062134,64,1e-05
22,2.0492513179779053,0.4514175355434418,2.2167160511016846,0.43209877610206604,64,1e-05
23,2.001741886138916,0.4646907150745392,2.183755397796631,0.43981480598449707,64,1e-05
24,1.94340181350708,0.4819587767124176,2.1545047760009766,0.4510030746459961,64,1e-05
25,1.9048717021942139,0.4912371039390564,2.125659227371216,0.4587191343307495,64,1e-05
26,1.8564279079437256,0.5043814182281494,2.1044061183929443,0.46296295523643494,64,1e-05
27,1.8109303712844849,0.5192010402679443,2.066619396209717,0.47685185074806213,64,1e-05
28,1.7844462394714355,0.530283510684967,2.035633087158203,0.4864969253540039,64,1e-05
29,1.7347925901412964,0.5393041372299194,2.0203816890716553,0.488811731338501,64,1e-05
30,1.7003945112228394,0.5505154728889465,1.989561676979065,0.49459877610206604,64,1e-05
