epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,3.2010481357574463,0.1050257757306099,2.889683723449707,0.1975308656692505,64,0.0001
2,2.6904165744781494,0.2476804107427597,2.4666545391082764,0.3121142089366913,64,0.0001
3,2.2308716773986816,0.37371134757995605,2.0454769134521484,0.4413580298423767,64,0.0001
4,1.7672232389450073,0.5060567259788513,1.701629400253296,0.5405092835426331,64,0.0001
5,1.4213498830795288,0.6051546335220337,1.583927869796753,0.571373462677002,64,0.0001
6,1.192310094833374,0.6622422933578491,1.4225280284881592,0.6246141791343689,64,0.0001
7,1.0226166248321533,0.7025772929191589,1.3818557262420654,0.6358024477958679,64,0.0001
8,0.8842607736587524,0.744716465473175,1.3433871269226074,0.6693673133850098,64,0.0001
9,0.7640798091888428,0.7743556499481201,1.3415757417678833,0.6697530746459961,64,0.0001
10,0.6580749154090881,0.8052834868431091,1.2713943719863892,0.6940586566925049,64,0.0001
11,0.5930638313293457,0.8235824704170227,1.3442189693450928,0.6863425970077515,64,0.0001
12,0.5059292316436768,0.8525773286819458,1.2956568002700806,0.7071759104728699,64,0.0001
13,0.4568867087364197,0.8634020686149597,1.3449963331222534,0.7129629850387573,64,0.0001
14,0.4407278895378113,0.8711340427398682,1.350589394569397,0.7226080298423767,64,0.0001
15,0.38562464714050293,0.8853092789649963,1.524532675743103,0.7179784178733826,64,0.0001
