epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,3.3378961086273193,0.06559278070926666,3.1711153984069824,0.11921296268701553,16,0.0001
2,3.052212953567505,0.14677834510803223,2.8871982097625732,0.20254629850387573,16,0.0001
3,2.809264659881592,0.20850515365600586,2.692972183227539,0.26195988059043884,16,0.0001
4,2.6155738830566406,0.2725515365600586,2.5218942165374756,0.3194444477558136,16,0.0001
5,2.4195077419281006,0.3212628960609436,2.3521156311035156,0.3676697611808777,16,0.0001
6,2.24214506149292,0.3663659691810608,2.1950151920318604,0.4104938209056854,16,0.0001
7,2.086930274963379,0.4168814420700073,2.0523393154144287,0.4583333432674408,16,0.0001
8,1.9140413999557495,0.46791237592697144,1.924660563468933,0.49807098507881165,16,0.0001
9,1.7642029523849487,0.5074742436408997,1.827104926109314,0.520061731338501,16,0.0001
10,1.6290067434310913,0.5426546335220337,1.7100118398666382,0.5509259104728699,16,0.0001
11,1.5171761512756348,0.5685567259788513,1.672767162322998,0.5613425970077515,16,0.0001
12,1.422638177871704,0.5938144326210022,1.6314250230789185,0.5671296119689941,16,0.0001
13,1.3491891622543335,0.6077319383621216,1.568610668182373,0.5887345671653748,16,0.0001
14,1.266110897064209,0.6409794092178345,1.502990961074829,0.5976080298423767,16,0.0001
15,1.1840041875839233,0.6631443500518799,1.4746828079223633,0.6064814925193787,16,0.0001
16,1.1234239339828491,0.6720361113548279,1.4466116428375244,0.6153549551963806,16,0.0001
17,1.0842361450195312,0.6846649646759033,1.4370708465576172,0.6180555820465088,16,0.0001
18,1.0142111778259277,0.7020618319511414,1.4071979522705078,0.6307870149612427,16,0.0001
19,0.9597172141075134,0.7202319502830505,1.3864517211914062,0.6431326866149902,16,0.0001
20,0.9183386564254761,0.7313144207000732,1.3593827486038208,0.6547067761421204,16,0.0001
21,0.8985573053359985,0.7369845509529114,1.3815672397613525,0.6439043283462524,16,0.0001
22,0.8490543961524963,0.7537370920181274,1.3880304098129272,0.6423611044883728,16,0.0001
23,0.812364399433136,0.7579897046089172,1.357957124710083,0.6670524477958679,16,0.0001
24,0.7806501388549805,0.7672680616378784,1.3631675243377686,0.6577932238578796,16,0.0001
25,0.764901876449585,0.7692010402679443,1.3141053915023804,0.6797839403152466,16,0.0001
26,0.7008652687072754,0.7884020805358887,1.3266764879226685,0.6774691343307495,16,0.0001
27,0.7090888023376465,0.7930412292480469,1.3645445108413696,0.6793981194496155,16,0.0001
28,0.6727008819580078,0.8001288771629333,1.3378369808197021,0.6751543283462524,16,0.0001
29,0.6296544671058655,0.8081185817718506,1.3699573278427124,0.6778549551963806,16,0.0001
30,0.6178001761436462,0.8132731914520264,1.3428868055343628,0.6832561492919922,16,0.0001
