epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,4.7994561195373535,0.032474227249622345,3.425516128540039,0.03510802611708641,16,1e-05
2,3.5072505474090576,0.0378865972161293,3.3982913494110107,0.04050925746560097,16,1e-05
3,3.4311892986297607,0.04149484634399414,3.382873058319092,0.046682097017765045,16,1e-05
4,3.399897813796997,0.04445876181125641,3.375152587890625,0.05941358208656311,16,1e-05
5,3.385807514190674,0.0512886606156826,3.366194725036621,0.06327160447835922,16,1e-05
6,3.3771941661834717,0.05554123595356941,3.362504720687866,0.05092592537403107,16,1e-05
7,3.3694028854370117,0.05476804077625275,3.356642723083496,0.06983024626970291,16,1e-05
8,3.3616857528686523,0.06146907061338425,3.351438283920288,0.07137345522642136,16,1e-05
9,3.349457025527954,0.06636597961187363,3.341676950454712,0.07600308954715729,16,1e-05
10,3.343080997467041,0.06868556886911392,3.3359978199005127,0.0729166641831398,16,1e-05
11,3.3425443172454834,0.06430412083864212,3.327760696411133,0.07947530597448349,16,1e-05
12,3.3313324451446533,0.0713917538523674,3.3216629028320312,0.08024691045284271,16,1e-05
13,3.324195384979248,0.07512886822223663,3.3131370544433594,0.08487654477357864,16,1e-05
14,3.3166446685791016,0.07538659870624542,3.303736448287964,0.09297839552164078,16,1e-05
15,3.3084006309509277,0.08131442964076996,3.2957587242126465,0.09915123134851456,16,1e-05
16,3.2982921600341797,0.08182989805936813,3.287433385848999,0.10030864179134369,16,1e-05
17,3.2899160385131836,0.08672680705785751,3.2752044200897217,0.10262345522642136,16,1e-05
18,3.2817091941833496,0.08646906912326813,3.2660632133483887,0.10532407462596893,16,1e-05
19,3.268420457839966,0.09085051715373993,3.253763198852539,0.10956790298223495,16,1e-05
20,3.262331008911133,0.0958762913942337,3.2431414127349854,0.11574073880910873,16,1e-05
21,3.244326591491699,0.0960051566362381,3.2308175563812256,0.11766975373029709,16,1e-05
22,3.2347636222839355,0.09716495126485825,3.2172048091888428,0.12307098507881165,16,1e-05
23,3.2209420204162598,0.10335051268339157,3.203089952468872,0.12307098507881165,16,1e-05
24,3.213702917098999,0.10128866136074066,3.187457799911499,0.1350308656692505,16,1e-05
25,3.1931304931640625,0.11211340129375458,3.172600746154785,0.1284722238779068,16,1e-05
26,3.1785316467285156,0.11636597663164139,3.1559462547302246,0.13811728358268738,16,1e-05
27,3.1693551540374756,0.11237113177776337,3.1436269283294678,0.1454475373029709,16,1e-05
28,3.1530168056488037,0.11804123967885971,3.1294198036193848,0.14506173133850098,16,1e-05
29,3.1321535110473633,0.12164948135614395,3.113874673843384,0.1458333283662796,16,1e-05
30,3.1192798614501953,0.13131442666053772,3.0974178314208984,0.15702161192893982,16,1e-05
