epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,2.9810750484466553,0.18492268025875092,2.518644332885742,0.3221450746059418,64,0.0001
2,2.227511405944824,0.4103092849254608,1.898065447807312,0.48842594027519226,64,0.0001
3,1.6533827781677246,0.5628865957260132,1.4370877742767334,0.6122685074806213,64,0.0001
4,1.222739338874817,0.6807989478111267,1.132603645324707,0.7029321193695068,64,0.0001
5,0.9543935656547546,0.7421391606330872,1.0424914360046387,0.7210648059844971,64,0.0001
6,0.757834792137146,0.7970361113548279,0.9686397910118103,0.7341821193695068,64,0.0001
7,0.6071817278862,0.8341494798660278,0.7352372407913208,0.8097993731498718,64,0.0001
8,0.5037736892700195,0.8617268204689026,0.7947996854782104,0.7932098507881165,64,0.0001
9,0.423556923866272,0.8815721869468689,0.7149404287338257,0.8175154328346252,64,0.0001
10,0.361700177192688,0.8958762884140015,0.6752523183822632,0.8337191343307495,64,0.0001
11,0.30363690853118896,0.910180389881134,0.6956655383110046,0.845678985118866,64,0.0001
12,0.2635495960712433,0.9251288771629333,0.7279530167579651,0.8472222089767456,64,0.0001
13,0.22933049499988556,0.9319587349891663,0.6795336008071899,0.8337191343307495,64,0.0001
14,0.2032744437456131,0.9409793615341187,0.6768468022346497,0.8495370149612427,64,0.0001
15,0.18370673060417175,0.9484536051750183,0.802320122718811,0.8618826866149902,64,0.0001
