epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,3.338345766067505,0.06752577424049377,3.1869468688964844,0.1253858059644699,16,0.0001
2,3.107875347137451,0.13518041372299194,2.966644287109375,0.19328702986240387,16,0.0001
3,2.9211606979370117,0.19046391546726227,2.821685314178467,0.22492283582687378,16,0.0001
4,2.7689480781555176,0.2297680377960205,2.6854422092437744,0.2596450746059418,16,0.0001
5,2.6138687133789062,0.2743556797504425,2.5622477531433105,0.2889660596847534,16,0.0001
6,2.4645464420318604,0.3106958866119385,2.4562058448791504,0.3233024775981903,16,0.0001
7,2.335430860519409,0.3432989716529846,2.352353096008301,0.354938268661499,16,0.0001
8,2.199162721633911,0.3862113356590271,2.2470126152038574,0.38657405972480774,16,0.0001
9,2.0782835483551025,0.4199742376804352,2.131866931915283,0.42592594027519226,16,0.0001
10,1.9441967010498047,0.4578608274459839,2.0734336376190186,0.4444444477558136,16,0.0001
11,1.8560348749160767,0.4759020507335663,1.9948490858078003,0.4645061790943146,16,0.0001
12,1.7402923107147217,0.5119845271110535,2.0097367763519287,0.47337964177131653,16,0.0001
13,1.6558425426483154,0.5393041372299194,1.9218541383743286,0.4861111044883728,16,0.0001
14,1.5696073770523071,0.5587629079818726,1.863250732421875,0.5127314925193787,16,0.0001
15,1.5045045614242554,0.5773195624351501,1.822047233581543,0.5196759104728699,16,0.0001
16,1.4354195594787598,0.5936855673789978,1.7346197366714478,0.5432098507881165,16,0.0001
17,1.3688567876815796,0.6123711466789246,1.6874408721923828,0.5625,16,0.0001
18,1.296552300453186,0.6331185698509216,1.7120137214660645,0.5582561492919922,16,0.0001
19,1.2526257038116455,0.647680401802063,1.676231861114502,0.5709876418113708,16,0.0001
20,1.209168791770935,0.6582474112510681,1.6196597814559937,0.5810185074806213,16,0.0001
21,1.1660706996917725,0.6701030731201172,1.7278786897659302,0.5725308656692505,16,0.0001
22,1.1252105236053467,0.6793814301490784,1.4928057193756104,0.6099537014961243,16,0.0001
23,1.0694661140441895,0.692396879196167,1.514947772026062,0.6111111044883728,16,0.0001
24,1.0388095378875732,0.6992267966270447,1.4810940027236938,0.6219135522842407,16,0.0001
25,0.9949058294296265,0.7157216668128967,1.4866318702697754,0.6219135522842407,16,0.0001
26,0.9734312295913696,0.7171391844749451,1.551013469696045,0.6145833134651184,16,0.0001
27,0.9346202611923218,0.7304123640060425,1.405566692352295,0.6358024477958679,16,0.0001
28,0.9035453200340271,0.7402061820030212,1.3995041847229004,0.6396604776382446,16,0.0001
29,0.8715826272964478,0.745103120803833,1.5724265575408936,0.6188271641731262,16,0.0001
30,0.8349384665489197,0.7554123997688293,1.492592453956604,0.6358024477958679,16,0.0001
