epochs,loss,accuracy,val_loss,val_accuracy
1,4.555143356323242,0.09548968821763992,3.1344826221466064,0.12229938060045242
2,2.877197027206421,0.20219072699546814,2.767434597015381,0.2322530895471573
3,2.422114849090576,0.3078608214855194,2.37109112739563,0.3298611044883728
4,1.9569209814071655,0.44291236996650696,1.8954591751098633,0.45640432834625244
5,1.6056033372879028,0.5434278249740601,1.5656211376190186,0.5501543283462524
6,1.3071508407592773,0.6287370920181274,1.2317659854888916,0.6520061492919922
7,1.1304230690002441,0.671005129814148,1.0535197257995605,0.7021604776382446
8,0.994093120098114,0.7143041491508484,0.9266595840454102,0.741126537322998
9,0.8911299705505371,0.7467783689498901,0.9095056653022766,0.7380401492118835
10,0.8065196871757507,0.7590206265449524,0.9561205506324768,0.7268518805503845
11,0.7478516101837158,0.7838917374610901,0.8672627806663513,0.7422839403152466
12,0.6937572360038757,0.7951030731201172,0.8752797245979309,0.7415123581886292
13,0.6234216094017029,0.821391761302948,0.852026641368866,0.7492284178733826
14,0.5714341402053833,0.8271906971931458,0.8152236938476562,0.7542438507080078
15,0.5421969294548035,0.8378865718841553,0.8752402663230896,0.7511574029922485
16,0.4948045611381531,0.8490979671478271,0.7558334469795227,0.7804784178733826
17,0.4605579674243927,0.8615979552268982,0.8609638810157776,0.7573302388191223
18,0.4104338586330414,0.8766752481460571,0.7805151343345642,0.7777777910232544
19,0.39963775873184204,0.8730670213699341,0.7412275075912476,0.7908950448036194
20,0.3639000952243805,0.8890463709831238,0.7476601004600525,0.7908950448036194
21,0.3462115526199341,0.8913660049438477,0.6643516421318054,0.8152006268501282
22,0.3187125027179718,0.9025773406028748,0.8674277067184448,0.7800925970077515
23,0.2828935980796814,0.910824716091156,0.7433691620826721,0.7947530746459961
24,0.26459208130836487,0.9155927896499634,0.8122748136520386,0.7874228358268738
25,0.2573879361152649,0.9206185340881348,1.0871816873550415,0.7395833134651184
26,0.2515181601047516,0.920360803604126,0.7072551250457764,0.8182870149612427
27,0.224063441157341,0.9280927777290344,1.0366936922073364,0.7561728358268738
28,0.22163477540016174,0.9314432740211487,0.8366042971611023,0.7905092835426331
29,0.18905259668827057,0.9442010521888733,0.8191139101982117,0.7881944179534912
30,0.1804565042257309,0.9447165131568909,0.8656834959983826,0.7928240895271301
31,0.17558519542217255,0.9445876479148865,0.742372989654541,0.8206018805503845
32,0.16497385501861572,0.9478092789649963,0.875565230846405,0.7947530746459961
33,0.16839155554771423,0.9462628960609436,0.8751586079597473,0.7978395223617554
34,0.13903814554214478,0.9574742317199707,0.7060509324073792,0.8271604776382446
35,0.13577209413051605,0.955283522605896,0.813811719417572,0.8186728358268738
36,0.12341129034757614,0.9606958627700806,0.8757574558258057,0.8109567761421204
37,0.12609274685382843,0.9612113237380981,0.6933186054229736,0.8391203880310059
38,0.1203470304608345,0.9634020328521729,0.854519784450531,0.8148148059844971
39,0.11117258667945862,0.9654639363288879,0.9003422260284424,0.7970678806304932
40,0.1288711577653885,0.9600515365600586,0.8590533137321472,0.8051697611808777
41,0.09849651902914047,0.9692010283470154,0.9462364315986633,0.8136574029922485
42,0.09137886017560959,0.9721649289131165,0.7254998683929443,0.8383487462997437
43,0.08270642161369324,0.9756443500518799,0.8620248436927795,0.8202160596847534
44,0.08273962885141373,0.9761598110198975,0.7885230779647827,0.8240740895271301
45,0.09409978240728378,0.969716489315033,0.7324466109275818,0.8414351940155029
46,0.1027192547917366,0.9654639363288879,0.8996541500091553,0.8101851940155029
47,0.09221147000789642,0.972680389881134,0.9691952466964722,0.8113425970077515
48,0.09818234294652939,0.9681701064109802,0.9075252413749695,0.8136574029922485
49,0.07353498786687851,0.9769330024719238,0.8009453415870667,0.8298611044883728
50,0.05903157219290733,0.9811855554580688,0.7359577417373657,0.8537808656692505
51,0.060251880437135696,0.9805412292480469,0.8817094564437866,0.8167438507080078
52,0.07688756287097931,0.9735824465751648,1.2814050912857056,0.7638888955116272
53,0.1168643981218338,0.9615979194641113,0.9227364659309387,0.8167438507080078
54,0.08679249882698059,0.9708762764930725,1.0268902778625488,0.7978395223617554
55,0.07907390594482422,0.9746134281158447,0.9651445746421814,0.8051697611808777
56,0.05282827094197273,0.9833762645721436,0.8872922658920288,0.8252314925193787
57,0.05967988818883896,0.9805412292480469,0.7594324946403503,0.8433641791343689
58,0.06921122968196869,0.9760309457778931,0.9181898236274719,0.8136574029922485
59,0.08282497525215149,0.9725515246391296,0.8882678747177124,0.8194444179534912
60,0.06142386049032211,0.9796391725540161,1.159801959991455,0.7797067761421204
61,0.061210475862026215,0.9811855554580688,0.7654144763946533,0.841821014881134
62,0.053816765546798706,0.9829896688461304,0.8446299433708191,0.8287037014961243
63,0.08653765171766281,0.9731958508491516,0.845339298248291,0.8090277910232544
64,0.08191949874162674,0.9725515246391296,0.8863524198532104,0.8206018805503845
65,0.058807794004678726,0.9810566902160645,0.7724846601486206,0.8476080298423767
66,0.05036614090204239,0.983505129814148,0.8433201909065247,0.8329475522041321
67,0.04445040598511696,0.9858247637748718,0.777980387210846,0.8468364477157593
68,0.058146633207798004,0.9805412292480469,1.1822588443756104,0.7843364477157593
69,0.07858242839574814,0.9744845628738403,1.0497301816940308,0.8182870149612427
70,0.0912696123123169,0.9716494679450989,0.9616489410400391,0.8182870149612427
71,0.06440051645040512,0.9796391725540161,0.9242842793464661,0.8360339403152466
72,0.050459109246730804,0.983505129814148,0.7891014814376831,0.8445215821266174
73,0.04770316556096077,0.9854381680488586,0.9977419972419739,0.8225308656692505
74,0.05849380046129227,0.9809278249740601,0.9453322887420654,0.8171296119689941
75,0.06396119296550751,0.9778350591659546,0.9980220198631287,0.8206018805503845
76,0.07213397324085236,0.9780927896499634,0.8173675537109375,0.8375771641731262
77,0.06299179047346115,0.977963924407959,0.9742552042007446,0.8109567761421204
78,0.05012648180127144,0.9829896688461304,0.7467885613441467,0.8468364477157593
79,0.05352390930056572,0.9824742078781128,0.8747339844703674,0.832561731338501
80,0.061841677874326706,0.9784793853759766,0.7950629591941833,0.8441358208656311
81,0.042690444737672806,0.9845361113548279,0.8275206089019775,0.8414351940155029
82,0.040433984249830246,0.987500011920929,0.8504473567008972,0.8333333134651184
83,0.03514913469552994,0.9878866076469421,0.9319513440132141,0.8333333134651184
84,0.052282582968473434,0.9826030731201172,1.144004225730896,0.8063271641731262
85,0.05874047800898552,0.9809278249740601,1.1272554397583008,0.8097993731498718
86,0.055787838995456696,0.9800257682800293,0.8365978598594666,0.8568673133850098
87,0.04810671880841255,0.9826030731201172,0.9505181908607483,0.832561731338501
88,0.029255615547299385,0.9894329905509949,0.8555198907852173,0.8387345671653748
89,0.05500011891126633,0.9810566902160645,1.1346008777618408,0.8152006268501282
90,0.05624378100037575,0.982860803604126,0.9856932163238525,0.821373462677002
91,0.058706630021333694,0.9819587469100952,0.8671008348464966,0.8352623581886292
92,0.058763936161994934,0.9792525768280029,0.9023329019546509,0.8449074029922485
93,0.053859155625104904,0.9817010164260864,1.1202284097671509,0.8159722089767456
94,0.0493769533932209,0.9832473993301392,0.9224331974983215,0.8371913433074951
95,0.04998157173395157,0.9818298816680908,1.1403565406799316,0.8055555820465088
96,0.04722097888588905,0.983505129814148,0.8177887797355652,0.8433641791343689
97,0.0449826605618,0.9854381680488586,1.0147227048873901,0.8221450448036194
