epochs,loss,accuracy,val_loss,val_accuracy
1,3.57192063331604,0.041881442070007324,3.148477554321289,0.09066358208656311
2,2.484916925430298,0.2694587707519531,1.6232740879058838,0.5343364477157593
3,1.3599573373794556,0.5890464186668396,0.947266161441803,0.7133487462997437
4,0.8527961373329163,0.7432989478111267,0.7333322167396545,0.7870370149612427
5,0.5848867297172546,0.8238402009010315,0.6193197965621948,0.8294752836227417
6,0.4747307598590851,0.852319598197937,0.5509534478187561,0.8514660596847534
7,0.3969944417476654,0.8757731914520264,0.4854026734828949,0.8599537014961243
8,0.3215273320674896,0.8992267847061157,0.5191453099250793,0.8584104776382446
9,0.27981293201446533,0.9112113118171692,0.5406733751296997,0.8614969253540039
10,0.26084017753601074,0.9162371158599854,0.5885239839553833,0.8553240895271301
11,0.2319730967283249,0.9264175295829773,0.5064538717269897,0.8692129850387573
12,0.19727328419685364,0.9369845390319824,0.510613739490509,0.8811728358268738
13,0.20623880624771118,0.938144326210022,0.5004329681396484,0.8831018805503845
14,0.1896778792142868,0.9405927658081055,0.5184145569801331,0.8823302388191223
15,0.1834506094455719,0.9429123997688293,0.5062810182571411,0.8842592835426331
16,0.15330597758293152,0.9547680616378784,0.5736080408096313,0.8811728358268738
17,0.1447397917509079,0.955283522605896,0.5934090614318848,0.8699845671653748
18,0.14826330542564392,0.9548969268798828,0.6032037138938904,0.8846450448036194
19,0.12096066772937775,0.9623711109161377,0.5916856527328491,0.8892747163772583
20,0.13598056137561798,0.9591494798660278,0.6549463868141174,0.8668981194496155
21,0.1292634904384613,0.9597938060760498,0.7009499669075012,0.8726851940155029
22,0.16440461575984955,0.9481958746910095,0.611140251159668,0.8881173133850098
23,0.14703956246376038,0.9560567140579224,0.5678610801696777,0.8946759104728699
24,0.1290014535188675,0.9626288414001465,0.5959996581077576,0.8989197611808777
25,0.12087253481149673,0.9640464186668396,0.5865407586097717,0.90625
26,0.11318953335285187,0.9649484753608704,0.6330428719520569,0.8919752836227417
27,0.10299253463745117,0.9688144326210022,0.542246401309967,0.9066358208656311
28,0.1066029891371727,0.9694587588310242,0.6004819869995117,0.8923611044883728
29,0.09311921149492264,0.9731958508491516,0.7477545738220215,0.8715277910232544
30,0.1332036256790161,0.9624999761581421,0.7044275403022766,0.8811728358268738
31,0.1265925168991089,0.9628865718841553,0.6337211728096008,0.8842592835426331
32,0.1131037175655365,0.9679123759269714,0.698503851890564,0.8919752836227417
33,0.1162855252623558,0.9680412411689758,0.6809656023979187,0.8827160596847534
34,0.09503266215324402,0.9771907329559326,0.7015834450721741,0.8792438507080078
35,0.14806708693504333,0.9614690542221069,0.5747822523117065,0.8927469253540039
36,0.07847586274147034,0.9756443500518799,0.609961211681366,0.9016203880310059
37,0.12042278051376343,0.9667525887489319,0.6454874277114868,0.8908178806304932
38,0.12132655084133148,0.9673969149589539,0.6128824949264526,0.8977623581886292
39,0.09779727458953857,0.9708762764930725,0.653483510017395,0.9004629850387573
40,0.0862962082028389,0.9768041372299194,0.6409188508987427,0.9016203880310059
41,0.09985113143920898,0.9744845628738403,0.6562693119049072,0.904321014881134
42,0.11490213125944138,0.9703608155250549,0.7446529269218445,0.8819444179534912
43,0.11015068739652634,0.9725515246391296,0.7609089016914368,0.9000771641731262
44,0.1127694696187973,0.9720360636711121,0.6514573097229004,0.9093364477157593
45,0.09632473438978195,0.9719071984291077,0.7152419090270996,0.8954475522041321
46,0.12113161385059357,0.9689432978630066,0.8917937278747559,0.8908178806304932
47,0.1263326108455658,0.9686855673789978,0.7258009910583496,0.8966049551963806
48,0.08212728053331375,0.9774484634399414,0.7152377367019653,0.8904321193695068
49,0.11308827996253967,0.9715206027030945,0.6500940322875977,0.8892747163772583
50,0.08493594080209732,0.9784793853759766,0.7371030449867249,0.9047067761421204
51,0.07531975209712982,0.9807989597320557,0.6602696776390076,0.9101080298423767
52,0.0627017393708229,0.9827319383621216,0.7464102506637573,0.9108796119689941
