epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,3.2136032581329346,0.12036082148551941,2.824655771255493,0.2820216119289398,16,0.0001
2,2.6781537532806396,0.2829896807670593,2.3842504024505615,0.4158950746059418,16,0.0001
3,2.279677152633667,0.3844072222709656,2.052863597869873,0.4726080298423767,16,0.0001
4,1.97041916847229,0.4707474112510681,1.792485237121582,0.5389660596847534,16,0.0001
5,1.699284553527832,0.544716477394104,1.596893548965454,0.5964506268501282,16,0.0001
6,1.4732563495635986,0.6009020805358887,1.4107885360717773,0.654321014881134,16,0.0001
7,1.2805240154266357,0.6527062058448792,1.2604851722717285,0.6902006268501282,16,0.0001
8,1.1312605142593384,0.6916236877441406,1.212437629699707,0.6932870149612427,16,0.0001
9,1.0279786586761475,0.722680389881134,1.1125028133392334,0.7218364477157593,16,0.0001
10,0.9226669669151306,0.746391773223877,1.0410335063934326,0.7353395223617554,16,0.0001
11,0.82639080286026,0.7676546573638916,0.9691411852836609,0.7600308656692505,16,0.0001
12,0.754094660282135,0.7939432859420776,0.9591758847236633,0.7677469253540039,16,0.0001
13,0.7116439938545227,0.8057989478111267,0.9143372774124146,0.7719907164573669,16,0.0001
14,0.641350269317627,0.8170102834701538,0.9126459956169128,0.7781635522842407,16,0.0001
15,0.5792451500892639,0.833891749382019,0.8600414991378784,0.7920524477958679,16,0.0001
16,0.5423672199249268,0.8469071984291077,0.8502929210662842,0.7939814925193787,16,0.0001
17,0.49765515327453613,0.8597938418388367,0.8485718965530396,0.7993826866149902,16,0.0001
18,0.4772924482822418,0.861855685710907,0.8194490671157837,0.8067129850387573,16,0.0001
19,0.44733726978302,0.8702319860458374,0.8051707744598389,0.8113425970077515,16,0.0001
20,0.4094809293746948,0.8824742436408997,0.8129668235778809,0.8070987462997437,16,0.0001
21,0.3785548508167267,0.8903350234031677,0.8141719698905945,0.8148148059844971,16,0.0001
22,0.360045462846756,0.892783522605896,0.8121144771575928,0.8155864477157593,16,0.0001
23,0.34265783429145813,0.8996133804321289,0.7581484317779541,0.8229166865348816,16,0.0001
24,0.32764121890068054,0.9032216668128967,0.8381433486938477,0.8094135522842407,16,0.0001
25,0.2869109511375427,0.9177834987640381,0.826833188533783,0.8221450448036194,16,0.0001
26,0.28555047512054443,0.9155927896499634,0.8346442580223083,0.8279321193695068,16,0.0001
27,0.27145737409591675,0.9194587469100952,0.7802252769470215,0.8321759104728699,16,0.0001
28,0.25058525800704956,0.9266752600669861,0.7886649966239929,0.8375771641731262,16,0.0001
