epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,2.9545364379882812,0.19484536349773407,2.3864941596984863,0.40509259700775146,64,0.0001
2,2.020782947540283,0.4596649408340454,1.6391514539718628,0.5790895223617554,64,0.0001
3,1.351965308189392,0.6320876479148865,1.2146172523498535,0.6747685074806213,64,0.0001
4,0.9637104272842407,0.7377577424049377,1.0618258714675903,0.7434413433074951,64,0.0001
5,0.728407621383667,0.794072151184082,0.8684210181236267,0.7854938507080078,64,0.0001
6,0.5807228088378906,0.835180401802063,0.8213275671005249,0.7970678806304932,64,0.0001
7,0.4565773606300354,0.8636597990989685,0.8268082141876221,0.8109567761421204,64,0.0001
8,0.37327349185943604,0.8905927538871765,0.7971420288085938,0.8263888955116272,64,0.0001
9,0.32680684328079224,0.9034793972969055,0.7274791598320007,0.8364197611808777,64,0.0001
10,0.261879563331604,0.9216494560241699,0.7061516642570496,0.8479938507080078,64,0.0001
11,0.2262144386768341,0.9340206384658813,0.7932764887809753,0.8248456716537476,64,0.0001
12,0.1789313405752182,0.9484536051750183,0.7626447677612305,0.8464506268501282,64,0.0001
13,0.16593344509601593,0.9521906971931458,0.6646468043327332,0.8530092835426331,64,0.0001
14,0.14839167892932892,0.9565721750259399,0.8568205833435059,0.8344907164573669,64,0.0001
15,0.15188530087471008,0.9551546573638916,0.7711682915687561,0.841821014881134,64,0.0001
16,0.1420152336359024,0.9594072103500366,0.7912949919700623,0.8468364477157593,64,0.0001
17,0.12840667366981506,0.9632731676101685,0.8312277793884277,0.8510802388191223,64,0.0001
18,0.12629932165145874,0.9643041491508484,0.8640438318252563,0.8518518805503845,64,0.0001
