epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,5.277313232421875,0.03634020686149597,3.395223617553711,0.04205247014760971,32,1e-05
2,3.4550201892852783,0.053221650421619415,3.331284999847412,0.06018518656492233,32,1e-05
3,3.3528969287872314,0.06726804375648499,3.282987594604492,0.08757716417312622,32,1e-05
4,3.2943644523620605,0.0826030895113945,3.2199175357818604,0.13695988059043884,32,1e-05
5,3.2354445457458496,0.10695876181125641,3.157857894897461,0.1635802537202835,32,1e-05
6,3.1730401515960693,0.11456185579299927,3.0908548831939697,0.1840277761220932,32,1e-05
7,3.1093289852142334,0.1364690661430359,3.0236597061157227,0.19945988059043884,32,1e-05
8,3.04823899269104,0.16172680258750916,2.9445443153381348,0.2391975373029709,32,1e-05
9,2.969747543334961,0.17796391248703003,2.8709170818328857,0.23109567165374756,32,1e-05
10,2.8962180614471436,0.20012886822223663,2.7942159175872803,0.2577160596847534,32,1e-05
11,2.825961112976074,0.20798969268798828,2.714482545852661,0.2716049253940582,32,1e-05
12,2.752307176589966,0.23118557035923004,2.643519163131714,0.30748456716537476,32,1e-05
13,2.6896040439605713,0.23956185579299927,2.5810985565185547,0.31095677614212036,32,1e-05
14,2.62024188041687,0.2634020745754242,2.504575729370117,0.3306327164173126,32,1e-05
15,2.5598580837249756,0.277448445558548,2.4452810287475586,0.34915122389793396,32,1e-05
16,2.492220401763916,0.294587641954422,2.376006841659546,0.3649691343307495,32,1e-05
17,2.4358768463134766,0.30283504724502563,2.3133785724639893,0.38310185074806213,32,1e-05
18,2.3803226947784424,0.32023194432258606,2.2562167644500732,0.3962191343307495,32,1e-05
19,2.3151254653930664,0.34252578020095825,2.2000842094421387,0.40162035822868347,32,1e-05
20,2.261378526687622,0.3530927896499634,2.1382896900177,0.4301697611808777,32,1e-05
21,2.2006795406341553,0.3643041253089905,2.087843179702759,0.43865740299224854,32,1e-05
22,2.1496622562408447,0.38530927896499634,2.03423810005188,0.45987653732299805,32,1e-05
23,2.0931994915008545,0.40747421979904175,1.9808402061462402,0.47376543283462524,32,1e-05
24,2.0495617389678955,0.41636598110198975,1.9419257640838623,0.4864969253540039,32,1e-05
25,1.9853782653808594,0.4336340129375458,1.8984163999557495,0.4895833432674408,32,1e-05
26,1.952109456062317,0.44291236996650696,1.8406031131744385,0.5158178806304932,32,1e-05
27,1.909252405166626,0.4534793794155121,1.804198980331421,0.5243055820465088,32,1e-05
28,1.8617825508117676,0.4730670154094696,1.751429796218872,0.5397376418113708,32,1e-05
29,1.7995150089263916,0.4934278428554535,1.717490315437317,0.5462962985038757,32,1e-05
30,1.7634778022766113,0.4889175295829773,1.6773724555969238,0.5520833134651184,32,1e-05
