epochs,loss,accuracy,val_loss,val_accuracy
1,3.498246908187866,0.034922681748867035,3.3952994346618652,0.03163580223917961
2,3.280104160308838,0.06842783838510513,3.046627998352051,0.12075617164373398
3,2.858792304992676,0.1608247458934784,2.4271745681762695,0.28935185074806213
4,2.240635395050049,0.34097936749458313,1.828766107559204,0.452160507440567
5,1.6138277053833008,0.516494870185852,1.334778904914856,0.5995370149612427
6,1.2325446605682373,0.6274484395980835,1.1522479057312012,0.6631944179534912
7,1.0363085269927979,0.6844072341918945,1.1644611358642578,0.665123462677002
8,0.9137439131736755,0.7152062058448792,1.1803089380264282,0.6682098507881165
9,0.8128955960273743,0.7470360994338989,1.0460190773010254,0.7048611044883728
10,0.6638395190238953,0.7903350591659546,1.032956838607788,0.716821014881134
11,0.5959790349006653,0.8127577304840088,0.9895979166030884,0.7438271641731262
12,0.5292012095451355,0.8318299055099487,1.0169531106948853,0.7268518805503845
13,0.5100210309028625,0.839175283908844,1.0222465991973877,0.729938268661499
14,0.4753055274486542,0.8503866195678711,1.0500952005386353,0.7415123581886292
15,0.4276532530784607,0.8626288771629333,1.1835172176361084,0.7256944179534912
16,0.43679675459861755,0.8608247637748718,1.1146345138549805,0.741126537322998
17,0.3918612003326416,0.8765463829040527,1.171669840812683,0.7434413433074951
18,0.36831650137901306,0.8846649527549744,1.226973533630371,0.7453703880310059
19,0.32118740677833557,0.8967783451080322,1.2151471376419067,0.758873462677002
20,0.3345842957496643,0.8952319622039795,1.2959916591644287,0.7283950448036194
21,0.3136797845363617,0.9021907448768616,1.3141378164291382,0.738811731338501
22,0.30680373311042786,0.9045103192329407,1.3165574073791504,0.7372685074806213
23,0.2676830589771271,0.914175271987915,1.2764784097671509,0.7503858208656311
24,0.2606453597545624,0.9199742078781128,1.3919094800949097,0.741126537322998
25,0.2378239780664444,0.9273195862770081,1.366532564163208,0.7511574029922485
26,0.2577081322669983,0.9219072461128235,1.3569509983062744,0.7627314925193787
27,0.24733024835586548,0.9265463948249817,1.5455875396728516,0.7318673133850098
28,0.2252463400363922,0.9319587349891663,1.342402458190918,0.7484567761421204
29,0.19461587071418762,0.9382731914520264,1.3926457166671753,0.7719907164573669
30,0.2013344168663025,0.9364690780639648,1.7286964654922485,0.7160493731498718
