epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,3.437147378921509,0.18414948880672455,1.9685043096542358,0.4375,64,0.001
2,1.4856406450271606,0.5755154490470886,1.4180545806884766,0.6280864477157593,64,0.001
3,0.9248541593551636,0.7298969030380249,0.8111292719841003,0.7808641791343689,64,0.001
4,0.6802558302879333,0.8070876002311707,0.7408839464187622,0.7955247163772583,64,0.001
5,0.5340622663497925,0.8426546454429626,0.9540662169456482,0.8148148059844971,64,0.001
6,0.4909329414367676,0.8648195862770081,1.0682536363601685,0.8020833134651184,64,0.001
7,0.4210752546787262,0.8797680139541626,1.0945594310760498,0.7889660596847534,64,0.001
8,0.4302758276462555,0.8877577185630798,0.8350724577903748,0.8425925970077515,64,0.001
9,0.4091727137565613,0.8954896926879883,1.4808071851730347,0.8028549551963806,64,0.001
