epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,3.9721572399139404,0.04510309174656868,3.299534559249878,0.07947530597448349,16,0.0001
2,3.2394089698791504,0.09085051715373993,3.0439810752868652,0.13695988059043884,16,0.0001
3,3.0294041633605957,0.13711340725421906,2.7739100456237793,0.20331789553165436,16,0.0001
4,2.8221235275268555,0.19085051119327545,2.576392650604248,0.2631172835826874,16,0.0001
5,2.6387696266174316,0.23182989656925201,2.399888515472412,0.3202160596847534,16,0.0001
6,2.4900710582733154,0.2706185579299927,2.282902956008911,0.34837964177131653,16,0.0001
7,2.346221923828125,0.3099226951599121,2.149932384490967,0.3819444477558136,16,0.0001
8,2.2204067707061768,0.3476804196834564,2.07977032661438,0.39699074625968933,16,0.0001
9,2.1206202507019043,0.3725515604019165,1.9873089790344238,0.4332561790943146,16,0.0001
10,2.0100603103637695,0.40747421979904175,1.8847846984863281,0.4648919701576233,16,0.0001
11,1.8997175693511963,0.4439432919025421,1.784783959388733,0.4861111044883728,16,0.0001
12,1.7910383939743042,0.47216495871543884,1.7374885082244873,0.5061728358268738,16,0.0001
13,1.7077902555465698,0.49858248233795166,1.6981464624404907,0.5177469253540039,16,0.0001
14,1.610277533531189,0.5168814659118652,1.6036866903305054,0.5435956716537476,16,0.0001
15,1.5438156127929688,0.5442010164260864,1.566992163658142,0.5551697611808777,16,0.0001
16,1.468095302581787,0.563144326210022,1.4768624305725098,0.5721450448036194,16,0.0001
17,1.3998686075210571,0.5840206146240234,1.4465526342391968,0.5856481194496155,16,0.0001
18,1.3238983154296875,0.6074742078781128,1.4296486377716064,0.5983796119689941,16,0.0001
19,1.250868558883667,0.6260309219360352,1.3777471780776978,0.6084104776382446,16,0.0001
20,1.207316517829895,0.6344072222709656,1.3291027545928955,0.6199845671653748,16,0.0001
21,1.134202480316162,0.6587628722190857,1.273307204246521,0.6288580298423767,16,0.0001
22,1.0977085828781128,0.6724227070808411,1.263337254524231,0.6415895223617554,16,0.0001
23,1.0576375722885132,0.6810566782951355,1.2222681045532227,0.6554784178733826,16,0.0001
24,1.0091464519500732,0.6942010521888733,1.197943091392517,0.6477623581886292,16,0.0001
25,0.9673759341239929,0.7060567140579224,1.2385058403015137,0.6508487462997437,16,0.0001
26,0.9189750552177429,0.7261598110198975,1.1462427377700806,0.6732252836227417,16,0.0001
27,0.8812040090560913,0.7278350591659546,1.1444981098175049,0.6743826866149902,16,0.0001
28,0.8516819477081299,0.7409793734550476,1.1776565313339233,0.6685956716537476,16,0.0001
29,0.8054388165473938,0.7507731914520264,1.1043286323547363,0.6875,16,0.0001
30,0.7728442549705505,0.7636597752571106,1.156298041343689,0.6770833134651184,16,0.0001
