epochs,loss,accuracy,val_loss,val_accuracy
1,3.5686862468719482,0.04033505171537399,3.339298963546753,0.04552469030022621
2,2.985722064971924,0.14368556439876556,2.4777565002441406,0.27276235818862915
3,2.2421813011169434,0.3412371277809143,1.6880093812942505,0.4957561790943146
4,1.5253368616104126,0.5465205907821655,1.2298647165298462,0.6377314925193787
5,1.1328531503677368,0.6514175534248352,1.3420937061309814,0.6114969253540039
6,0.905117392539978,0.7211340069770813,1.0483769178390503,0.6867284178733826
7,0.7503608465194702,0.7646906971931458,1.130113124847412,0.6921296119689941
8,0.655523955821991,0.8015463948249817,0.9562720656394958,0.7596450448036194
9,0.572361171245575,0.817396879196167,1.0462859869003296,0.7449845671653748
10,0.506014883518219,0.8472937941551208,1.0991828441619873,0.7496141791343689
11,0.47903355956077576,0.8532216548919678,1.308166265487671,0.7453703880310059
12,0.43703457713127136,0.8682989478111267,1.2431854009628296,0.7592592835426331
13,0.4061817228794098,0.8778350353240967,1.5052157640457153,0.727623462677002
14,0.384867399930954,0.8867267966270447,1.3651669025421143,0.6828703880310059
15,0.3842858076095581,0.8938144445419312,1.146401286125183,0.7527006268501282
16,0.3489912748336792,0.8958762884140015,1.3852616548538208,0.7731481194496155
17,0.3559727966785431,0.8987113237380981,1.5855677127838135,0.7488425970077515
18,0.3387904465198517,0.8981958627700806,1.5744473934173584,0.7488425970077515
19,0.3387279808521271,0.905927836894989,1.432902455329895,0.7646604776382446
20,0.3393038511276245,0.9067010283470154,2.0293028354644775,0.7268518805503845
21,0.34105098247528076,0.9061855673789978,1.600748896598816,0.7577160596847534
22,0.323199063539505,0.9185566902160645,1.7495185136795044,0.6998456716537476
23,0.34600329399108887,0.9097937941551208,1.522641658782959,0.7719907164573669
24,0.3333272635936737,0.9119845628738403,1.6734278202056885,0.7677469253540039
25,0.3443194031715393,0.9170103073120117,1.7178633213043213,0.7449845671653748
26,0.33637258410453796,0.9166237115859985,2.0272879600524902,0.7554012537002563
27,0.32348281145095825,0.9194587469100952,1.6368025541305542,0.7272376418113708
28,0.31360235810279846,0.9239690899848938,1.8169770240783691,0.7689043283462524
29,0.330329567193985,0.9229381680488586,1.990516185760498,0.7515432238578796
30,0.31948789954185486,0.925000011920929,2.395859718322754,0.7091049551963806
31,0.3176552951335907,0.9239690899848938,2.127532958984375,0.7712191343307495
32,0.3365752398967743,0.9217783212661743,1.9426220655441284,0.7758487462997437
33,0.3246041238307953,0.9282216429710388,2.493051528930664,0.7361111044883728
34,0.3579438626766205,0.9222938418388367,2.431954860687256,0.7469135522842407
35,0.32068225741386414,0.9248711466789246,1.8686202764511108,0.748071014881134
36,0.3606078028678894,0.9224227070808411,2.5876848697662354,0.7434413433074951
37,0.38041239976882935,0.9212628602981567,3.0229618549346924,0.7307098507881165
38,0.36845728754997253,0.9244845509529114,2.8317008018493652,0.7538580298423767
39,0.35261404514312744,0.9231958985328674,2.5511789321899414,0.7654321193695068
40,0.3496646285057068,0.9244845509529114,2.405001163482666,0.7762345671653748
41,0.333859920501709,0.9311855435371399,2.573883533477783,0.7712191343307495
42,0.37559443712234497,0.9207473993301392,2.379347324371338,0.7422839403152466
43,0.3351346552371979,0.9275773167610168,2.5090718269348145,0.7627314925193787
44,0.3533458411693573,0.9320876002311707,2.8274660110473633,0.7503858208656311
45,0.34037572145462036,0.9302834868431091,3.142216205596924,0.7654321193695068
46,0.37031424045562744,0.9274484515190125,2.507690906524658,0.7557870149612427
47,0.30148813128471375,0.9367268085479736,2.952650547027588,0.7604166865348816
48,0.3567314147949219,0.9320876002311707,2.3153302669525146,0.7561728358268738
49,0.32459279894828796,0.9337629079818726,2.73014760017395,0.7600308656692505
50,0.3702739477157593,0.9271907210350037,2.981804847717285,0.7554012537002563
51,0.35782358050346375,0.9331185817718506,2.72485089302063,0.7804784178733826
52,0.3108502924442291,0.9393041133880615,3.9403302669525146,0.7604166865348816
53,0.37455591559410095,0.9328608512878418,3.4082798957824707,0.7681326866149902
54,0.3588394522666931,0.9344072341918945,3.4368300437927246,0.7708333134651184
55,0.366841584444046,0.9329897165298462,3.5237467288970947,0.7565586566925049
56,0.40071603655815125,0.9262886643409729,2.624185562133789,0.7654321193695068
57,0.32725000381469727,0.941108226776123,3.2956769466400146,0.7808641791343689
58,0.39963170886039734,0.932603120803833,3.2360312938690186,0.7866512537002563
59,0.3401576578617096,0.9372422695159912,2.8459842205047607,0.7442129850387573
60,0.3572961091995239,0.9364690780639648,3.182692050933838,0.7449845671653748
61,0.3545588254928589,0.9359536170959473,3.1322274208068848,0.7785493731498718
62,0.3541063666343689,0.9354381561279297,3.3036563396453857,0.7800925970077515
63,0.3992926776409149,0.9380154609680176,2.875972032546997,0.7800925970077515
64,0.3381121754646301,0.9389175176620483,3.492279529571533,0.7982252836227417
65,0.37262123823165894,0.9371134042739868,3.012289047241211,0.7662037014961243
66,0.3588712215423584,0.933891773223877,3.2559280395507812,0.7453703880310059
67,0.37898746132850647,0.9390463829040527,3.490434169769287,0.7797067761421204
68,0.404282808303833,0.938144326210022,3.6128249168395996,0.7681326866149902
69,0.40682893991470337,0.933247447013855,3.387190341949463,0.7777777910232544
70,0.37500616908073425,0.9400773048400879,3.501349449157715,0.7808641791343689
71,0.39946249127388,0.9344072341918945,2.211256504058838,0.7384259104728699
72,0.36617428064346313,0.9403350353240967,3.1317169666290283,0.7658178806304932
73,0.3729659616947174,0.9400773048400879,3.819789171218872,0.7569444179534912
74,0.3608855903148651,0.9385309219360352,3.4582631587982178,0.7638888955116272
75,0.3426760137081146,0.9390463829040527,3.8550286293029785,0.779321014881134
76,0.3593950867652893,0.941108226776123,4.168908596038818,0.7746913433074951
77,0.3436676561832428,0.9492267966270447,3.93508243560791,0.7746913433074951
78,0.4150066375732422,0.9365979433059692,3.953386068344116,0.7592592835426331
79,0.32872864603996277,0.9479381442070007,5.207368850708008,0.7395833134651184
80,0.359422504901886,0.94703608751297,5.212064266204834,0.7708333134651184
81,0.3686386048793793,0.9431701302528381,3.817986011505127,0.7638888955116272
82,0.3716682493686676,0.9454897046089172,5.16822624206543,0.758873462677002
83,0.3851105868816376,0.9421391487121582,4.417409420013428,0.7449845671653748
84,0.43267157673835754,0.9447165131568909,4.964535713195801,0.7762345671653748
85,0.3862985074520111,0.9413659572601318,5.571776390075684,0.7816358208656311
86,0.37925559282302856,0.9467783570289612,5.018599987030029,0.779321014881134
87,0.3726675510406494,0.9483247399330139,3.1795401573181152,0.7650462985038757
88,0.3480047583580017,0.9432989954948425,5.462368011474609,0.7881944179534912
89,0.36494725942611694,0.9448453783988953,4.732386589050293,0.7762345671653748
90,0.3916393518447876,0.9494845271110535,4.49516487121582,0.7827932238578796
91,0.41607820987701416,0.9444587826728821,4.0256242752075195,0.7646604776382446
92,0.42291495203971863,0.941752552986145,3.9071998596191406,0.7708333134651184
93,0.37026360630989075,0.9483247399330139,6.077748775482178,0.7665895223617554
94,0.4277484714984894,0.9445876479148865,5.065805912017822,0.7785493731498718
95,0.43191343545913696,0.938144326210022,2.8329882621765137,0.7534722089767456
96,0.4319429099559784,0.9416236877441406,5.170994281768799,0.7565586566925049
97,0.4157011806964874,0.942396879196167,5.330900192260742,0.7434413433074951
98,0.45004042983055115,0.9481958746910095,4.648244380950928,0.7604166865348816
99,0.40894749760627747,0.9481958746910095,6.422847270965576,0.7712191343307495
100,0.45926719903945923,0.9449742436408997,3.9711568355560303,0.7785493731498718
